train/entropy_loss,time/iterations,time/time_elapsed,train/policy_loss,train/value_loss,time/total_timesteps,train/reward,train/n_updates,train/explained_variance,train/learning_rate,train/std,time/fps
-69.65524291992188,4800,276,-172.9026641845703,10.840529441833496,24000,1.0332259,4799,0.0,0.0007,1.0336209535598755,86
-69.66166687011719,4900,282,122.92927551269531,4.076476573944092,24500,-1.4382993,4899,0.0,0.0007,1.034018874168396,86
-69.73226165771484,5000,289,-182.73681640625,8.198728561401367,25000,-3.1939802,4999,-1.1920928955078125e-07,0.0007,1.0356084108352661,86
-69.83847045898438,5100,296,-67.19329071044922,1.1310187578201294,25500,-1.612219,5099,0.0,0.0007,1.03786039352417,86
-69.91699981689453,5200,302,3.303830623626709,0.470956027507782,26000,-2.029049,5199,0.0,0.0007,1.0397303104400635,85
-69.9457015991211,5300,309,-64.25068664550781,1.5425233840942383,26500,-2.5841157,5299,0.0,0.0007,1.0406333208084106,85
-70.06210327148438,5400,315,103.32144927978516,2.3839755058288574,27000,0.8312459,5399,-1.1920928955078125e-07,0.0007,1.0431225299835205,85
-70.12310791015625,5500,320,-17.218679428100586,0.11681461334228516,27500,-1.3744974,5499,0.0,0.0007,1.044366478919983,85
-70.2210693359375,5600,327,-122.15970611572266,3.3915207386016846,28000,0.1777882,5599,0.0,0.0007,1.046749472618103,85
-70.28730010986328,5700,333,-55.962928771972656,1.548708200454712,28500,-0.1363627,5699,5.960464477539063e-08,0.0007,1.0480867624282837,85
-70.25907897949219,5800,339,-34.84722137451172,1.9168968200683594,29000,0.4136943,5799,0.0,0.0007,1.0473579168319702,85
-70.28644561767578,5900,345,213.7442626953125,12.625600814819336,29500,5.40536,5899,-1.1920928955078125e-07,0.0007,1.0478976964950562,85
-70.3783950805664,6000,357,228.651611328125,16.007652282714844,30000,0.60464025,5999,0.0,0.0007,1.0501214265823364,83
-70.39710998535156,6100,363,-70.242919921875,2.3154218196868896,30500,-1.6691985,6099,0.0,0.0007,1.0506664514541626,84
-70.44871520996094,6200,368,196.93301391601562,9.379875183105469,31000,-0.85938394,6199,0.0,0.0007,1.0520650148391724,84
-70.51375579833984,6300,374,80.42537689208984,2.6546356678009033,31500,-0.36802965,6299,0.0,0.0007,1.0533679723739624,84
-70.47769165039062,6400,381,22.74075698852539,0.3817044198513031,32000,0.0288,6399,0.0,0.0007,1.0525115728378296,83
-70.48389434814453,6500,387,-73.69515991210938,2.2111940383911133,32500,1.5066749,6499,0.0,0.0007,1.052836537361145,83
-70.44277954101562,6600,397,-250.5353546142578,13.272140502929688,33000,1.0159926,6599,0.0,0.0007,1.0518018007278442,83
-70.48039245605469,6700,404,-54.978965759277344,1.463940978050232,33500,-1.0109683,6699,0.0,0.0007,1.0528268814086914,82
-70.55878448486328,6800,411,368.4554138183594,29.43869400024414,34000,-0.6158838,6799,0.0,0.0007,1.0547118186950684,82
-70.65699768066406,6900,417,-171.87484741210938,8.231017112731934,34500,1.3036892,6899,-1.1920928955078125e-07,0.0007,1.0567179918289185,82
-70.76043701171875,7000,422,-113.58729553222656,6.053027153015137,35000,-0.9826257,6999,-0.34125447273254395,0.0007,1.0591083765029907,82
-70.84160614013672,7100,428,-46.08308410644531,2.4497733116149902,35500,1.3554581,7099,0.0,0.0007,1.0609328746795654,82
-70.84413146972656,7200,434,73.7817611694336,1.630415916442871,36000,0.19115722,7199,0.0,0.0007,1.0609771013259888,82
-70.78843688964844,7300,440,-98.06002807617188,3.5406265258789062,36500,-1.591247,7299,-1.1920928955078125e-07,0.0007,1.0601563453674316,82
-70.86194610595703,7400,447,140.2388916015625,6.70609188079834,37000,0.4727719,7399,-1.1920928955078125e-07,0.0007,1.0616039037704468,82
-70.82318878173828,7500,455,120.85127258300781,4.187674522399902,37500,-1.59564,7499,-2.384185791015625e-07,0.0007,1.0607460737228394,82
-70.86285400390625,7600,462,108.18659973144531,2.873354434967041,38000,0.5680929,7599,-1.1920928955078125e-07,0.0007,1.061625361442566,82
-70.85865783691406,7700,469,254.26553344726562,18.135379791259766,38500,0.63313514,7699,-1.1920928955078125e-07,0.0007,1.0613932609558105,82
-70.88469696044922,7800,475,464.9068908691406,56.00947952270508,39000,0.9236714,7799,5.960464477539063e-08,0.0007,1.0622557401657104,81
-70.94756317138672,7900,481,-45.23105239868164,3.8409571647644043,39500,0.0099472,7899,0.0,0.0007,1.063501238822937,82
-71.03962707519531,8000,486,-42.2635498046875,1.3847463130950928,40000,0.3542288,7999,0.0,0.0007,1.0658906698226929,82
-71.02606201171875,8100,492,124.66455078125,3.1931569576263428,40500,0.5076385,8099,1.7881393432617188e-07,0.0007,1.0655118227005005,82
-71.08177947998047,8200,498,189.0596160888672,7.762494087219238,41000,-1.4445649,8199,0.0,0.0007,1.0666266679763794,82
-71.12260437011719,8300,504,-33.73261260986328,0.7163099646568298,41500,-1.9229395,8299,0.0,0.0007,1.0677298307418823,82
-71.15824127197266,8400,510,33.24835968017578,0.705022931098938,42000,-0.042418048,8399,0.0,0.0007,1.0685722827911377,82
-71.23938751220703,8500,516,369.3973693847656,36.19221115112305,42500,1.9496888,8499,0.0,0.0007,1.0702954530715942,82
-71.24161529541016,8600,524,39.9592170715332,1.5966190099716187,43000,0.5072888,8599,0.0,0.0007,1.0703554153442383,81
-71.36287689208984,8700,531,29.0338191986084,3.9602973461151123,43500,0.033924673,8699,0.0,0.0007,1.0729173421859741,81
-71.45439147949219,8800,537,145.7731475830078,4.277432441711426,44000,-2.9683187,8799,0.0,0.0007,1.0752019882202148,81
-71.57705688476562,8900,544,-42.39670181274414,1.447533130645752,44500,0.5505106,8899,0.0,0.0007,1.0778543949127197,81
-71.69786071777344,9000,551,22.751178741455078,1.2006251811981201,45000,-0.80450714,8999,0.0,0.0007,1.0805258750915527,81
-71.78527069091797,9100,557,17.735380172729492,0.7198981046676636,45500,-0.33526865,9099,0.0,0.0007,1.0824929475784302,81
-71.73796844482422,9200,564,-164.57131958007812,6.170443058013916,46000,0.10675929,9199,5.960464477539063e-08,0.0007,1.081175446510315,81
-71.6898193359375,9300,571,-227.021484375,12.118162155151367,46500,1.0628414,9299,1.1920928955078125e-07,0.0007,1.080457091331482,81
-71.67674255371094,9400,577,-157.28195190429688,6.265337944030762,47000,3.2042184,9399,0.0,0.0007,1.0796931982040405,81
-71.6642837524414,9500,583,-16.757572174072266,0.48007065057754517,47500,1.168526,9499,0.0,0.0007,1.0796059370040894,81
-71.71644592285156,9600,590,167.59918212890625,6.822340488433838,48000,-0.86741674,9599,1.1920928955078125e-07,0.0007,1.0806635618209839,81
-71.90364074707031,9700,596,-302.88568115234375,18.52515411376953,48500,-0.64925796,9699,0.0,0.0007,1.0851339101791382,81
-71.85907745361328,9800,602,57.30521774291992,1.1776443719863892,49000,0.6292867,9799,0.0,0.0007,1.084382176399231,81
-71.96771240234375,9900,608,54.681182861328125,1.5673481225967407,49500,0.84338385,9899,1.1920928955078125e-07,0.0007,1.086635947227478,81
-72.05116271972656,10000,616,-158.85235595703125,6.216549873352051,50000,2.398751,9999,5.960464477539063e-08,0.0007,1.0884734392166138,81
